0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,5.31E-31
8,5.05E-29
9,1.45E-27
10,2.20E-26
11,2.21E-25
12,1.65E-24
13,9.78E-24
14,4.86E-23
15,2.08E-22
16,7.92E-22
17,2.72E-21
18,8.55E-21
19,2.49E-20
20,6.78E-20
21,1.74E-19
22,4.24E-19
23,9.84E-19
24,2.19E-18
25,4.69E-18
26,9.68E-18
27,1.94E-17
28,3.76E-17
29,7.11E-17
30,1.31E-16
31,2.36E-16
32,4.16E-16
33,7.17E-16
34,1.21E-15
35,2.02E-15
36,3.30E-15
37,5.32E-15
38,8.44E-15
39,1.32E-14
40,2.04E-14
41,3.11E-14
42,4.68E-14
43,6.97E-14
44,1.03E-13
45,1.50E-13
46,2.16E-13
47,3.10E-13
48,4.39E-13
49,6.18E-13
50,8.62E-13
51,1.19E-12
52,1.64E-12
53,2.24E-12
54,3.03E-12
55,4.08E-12
56,5.46E-12
57,7.25E-12
58,9.58E-12
59,1.26E-11
60,1.65E-11
61,2.14E-11
62,2.77E-11
63,3.56E-11
64,4.56E-11
65,5.82E-11
66,7.38E-11
67,9.33E-11
68,1.17E-10
69,1.47E-10
70,1.84E-10
71,2.29E-10
72,2.83E-10
73,3.50E-10
74,4.30E-10
75,5.28E-10
76,6.45E-10
77,7.86E-10
78,9.55E-10
79,1.16E-09
80,1.40E-09
81,1.68E-09
82,2.02E-09
83,2.42E-09
84,2.88E-09
85,3.43E-09
86,4.08E-09
87,4.84E-09
88,5.72E-09
89,6.74E-09
90,7.93E-09
91,9.32E-09
92,1.09E-08
93,1.28E-08
94,1.49E-08
95,1.73E-08
96,2.01E-08
97,2.33E-08
98,2.70E-08
99,3.12E-08
100,3.60E-08
101,4.14E-08
102,4.76E-08
103,5.46E-08
104,6.26E-08
105,7.15E-08
106,8.17E-08
107,9.31E-08
108,1.06E-07
109,1.20E-07
110,1.37E-07
111,1.55E-07
112,1.75E-07
113,1.98E-07
114,2.23E-07
115,2.51E-07
116,2.83E-07
117,3.18E-07
118,3.56E-07
119,3.99E-07
120,4.47E-07
121,5.00E-07
122,5.58E-07
123,6.23E-07
124,6.94E-07
125,7.72E-07
126,8.59E-07
127,9.53E-07
128,1.06E-06
129,1.17E-06
130,1.30E-06
131,1.43E-06
132,1.59E-06
133,1.75E-06
134,1.93E-06
135,2.12E-06
136,2.34E-06
137,2.57E-06
138,2.82E-06
139,3.10E-06
140,3.40E-06
141,3.72E-06
142,4.08E-06
143,4.46E-06
144,4.87E-06
145,5.32E-06
146,5.81E-06
147,6.33E-06
148,6.90E-06
149,7.51E-06
150,8.16E-06
151,8.87E-06
152,9.64E-06
153,1.05E-05
154,1.13E-05
155,1.23E-05
156,1.33E-05
157,1.44E-05
158,1.56E-05
159,1.69E-05
160,1.82E-05
161,1.97E-05
162,2.12E-05
163,2.29E-05
164,2.46E-05
165,2.65E-05
166,2.85E-05
167,3.07E-05
168,3.30E-05
169,3.54E-05
170,3.80E-05
171,4.08E-05
172,4.38E-05
173,4.69E-05
174,5.03E-05
175,5.38E-05
176,5.76E-05
177,6.16E-05
178,6.58E-05
179,7.04E-05
180,7.51E-05
181,8.02E-05
182,8.56E-05
183,9.12E-05
184,9.72E-05
185,1.04E-04
186,1.10E-04
187,1.17E-04
188,1.25E-04
189,1.33E-04
190,1.41E-04
191,1.50E-04
192,1.59E-04
193,1.69E-04
194,1.79E-04
195,1.90E-04
196,2.02E-04
197,2.14E-04
198,2.26E-04
199,2.40E-04
200,2.54E-04
201,2.69E-04
202,2.84E-04
203,3.00E-04
204,3.17E-04
205,3.35E-04
206,3.54E-04
207,3.74E-04
208,3.95E-04
209,0.0004161632
210,0.0004388585
211,0.0004626292
212,0.0004875181
213,0.0005135695
214,0.0005408293
215,0.0005693445
216,0.0005991638
217,0.0006303374
218,0.0006629169
219,0.0006969557
220,0.0007325086
221,0.0007696321
222,0.0008083845
223,0.0008488256
224,0.0008910172
225,0.0009350227
226,0.0009809074
227,0.0010287384
228,0.0010785848
229,0.0011305176
230,0.0011846098
231,0.0012409363
232,0.0012995742
233,0.0013606027
234,0.0014241029
235,0.0014901584
236,0.0015588549
237,0.0016302801
238,0.0017045244
239,0.0017816804
240,0.0018618428
